pt_id,Latitude,Longitude,nearest_wetland_id_1,nearest_wetland_id_2,nearest_wetland_id_3,dist_m_1,dist_m_2,dist_m_3,dist_km_1,dist_km_2,dist_km_3,Confirmed Habitat,year.found,Site,County
18,3422800.739321559,440900.4993007884,41,41B,22,140.62919138033755,237.4467730639272,1176.096270269223,0.14062919138033755,0.2374467730639272,1.176096270269223,Terrestrial,2024,Ceylon WMA,Camden
19,3422561.870001854,441051.7811541908,41B,41,22,35.74006415813954,292.1485931310613,1451.2010702901605,0.03574006415813954,0.29214859313106134,1.4512010702901605,Terrestrial,2024,Ceylon WMA,Camden
20,3422856.939027881,441062.67876976315,41B,41,22,240.1641480049422,312.0874688089908,1183.736952966194,0.2401641480049422,0.3120874688089908,1.1837369529661939,Terrestrial,2024,Ceylon WMA,Camden
21,3424234.9861700553,439859.8604909029,54,127,55,274.9800902952508,292.51504053252535,548.8034602722096,0.27498009029525083,0.29251504053252536,0.5488034602722096,Tortoise burrow,2024,Ceylon WMA,Camden
22,3424313.46730079,439751.60796645813,127,54,37,260.49233300237665,334.4537400459998,477.7350800283033,0.2604923330023767,0.33445374004599976,0.4777350800283033,Terrestrial,2024,Ceylon WMA,Camden
23,3424693.807858228,439972.87486708147,37,127,54,219.20439548935673,698.7340353368351,746.7346228358747,0.21920439548935672,0.6987340353368351,0.7467346228358747,Tortoise burrow,2024,Ceylon WMA,Camden
24,3423205.435531641,443231.4240320158,59,62,60,69.64483562261394,313.6923978118247,348.5678221692476,0.06964483562261393,0.31369239781182473,0.34856782216924764,Tortoise Burrow,2024,Ceylon WMA,Camden
25,3423389.549055478,443246.1152156716,59,60,62,130.10093359770872,271.4900180531909,450.34660912487715,0.13010093359770872,0.2714900180531909,0.4503466091248772,Terrestrial,2024,Ceylon WMA,Camden
26,3423368.212016276,443269.61324112705,59,60,62,128.9432393755848,300.42694433205935,420.3720741516229,0.1289432393755848,0.30042694433205935,0.42037207415162287,Terrestrial,2024,Ceylon WMA,Camden
27,3423368.6067349734,443269.37461292284,59,60,62,129.06126343661023,300.07163990749507,420.8325569273544,0.12906126343661023,0.3000716399074951,0.4208325569273544,Terrestrial,2024,Ceylon WMA,Camden
28,3423391.3359522615,443308.86394142336,59,60,62,173.28963674649083,331.68409213590564,424.56889083719886,0.17328963674649084,0.33168409213590566,0.42456889083719884,Tortoise Burrow,2024,Ceylon WMA,Camden
29,3423393.137346406,443310.4526190567,59,60,62,175.67528489959946,332.8248047627411,425.6165190483933,0.17567528489959947,0.3328248047627411,0.42561651904839326,Tortoise Burrow,2024,Ceylon WMA,Camden
30,3423390.5466947095,443310.55632121256,59,60,62,174.03114669910119,333.51245015321666,423.1856676916711,0.1740311466991012,0.3335124501532167,0.4231856676916711,Tortoise Burrow,2024,Ceylon WMA,Camden
31,3423390.2477697846,443311.12121227133,59,60,62,174.25906531850234,334.1310039570598,422.69205141785403,0.17425906531850233,0.3341310039570598,0.42269205141785404,Tortoise Burrow,2024,Ceylon WMA,Camden
32,3423376.0920265783,443340.5688952921,59,60,62,189.52664443670645,366.1157163313006,398.87919197912566,0.18952664443670644,0.3661157163313006,0.3988791919791257,Terrestrial,2024,Ceylon WMA,Camden
33,3423362.126079533,443296.0766196507,59,60,62,144.87165992958387,327.43050655830643,403.14885446154983,0.14487165992958387,0.3274305065583064,0.40314885446154985,Tortoise Burrow,2024,Ceylon WMA,Camden
34,3423666.7002019025,439307.0060937179,55,54,127,223.0860703235012,333.0944940453261,390.283195599353,0.2230860703235012,0.3330944940453261,0.390283195599353,Tortoise Burrow,2024,Ceylon WMA,Camden
35,3423661.16695371,439332.7648831294,55,54,127,200.15988262209666,316.84969660489764,384.34980164129735,0.20015988262209666,0.31684969660489765,0.38434980164129734,Tortoise Burrow,2024,Ceylon WMA,Camden
36,3423748.2722640685,439316.4535911413,55,54,127,206.43056778444367,281.56205591798926,313.831987720068,0.20643056778444366,0.2815620559179893,0.31383198772006804,Tortoise burrow,2024,Ceylon WMA,Camden
37,3423734.1262642294,439329.5899387833,55,54,127,192.3278407489445,276.5803413235973,320.1041506053848,0.19232784074894452,0.27658034132359727,0.32010415060538483,Terrestrial,2024,Ceylon WMA,Camden
38,3423740.483040902,439316.4569409038,55,54,127,205.770761158273,285.0619678613388,320.69766183831723,0.205770761158273,0.2850619678613388,0.3206976618383172,Tortoise burrow,2024,Ceylon WMA,Camden
39,3423279.537051272,444271.8174345037,109,109B,62,112.51043151846204,114.90680957543825,829.4496930672607,0.11251043151846205,0.11490680957543825,0.8294496930672607,Tortoise burrow,2024,Ceylon WMA,Camden
40,3423248.003349006,444282.4767796296,109B,109,62,94.98545740566676,103.50897686282774,828.0733394150543,0.09498545740566676,0.10350897686282774,0.8280733394150543,Tortoise burrow,2024,Ceylon WMA,Camden
41,3424685.2977156527,439665.3539381949,37,127,54,117.71811978478257,566.567017398745,702.7409251740925,0.11771811978478257,0.5665670173987449,0.7027409251740925,Tortoise burrow,2024,Ceylon WMA,Camden
42,3423830.247113003,439452.7026276102,55,54,127,103.76838488346897,123.94372609845493,186.80865804475886,0.10376838488346897,0.12394372609845493,0.18680865804475885,Tortoise burrow,2024,Ceylon WMA,Camden
43,3423803.3947071596,439455.28284392774,55,54,127,86.84803700165239,133.10897768134862,212.95309307785595,0.08684803700165239,0.1331089776813486,0.21295309307785595,Tortoise burrow,2024,Ceylon WMA,Camden
44,3423774.862058977,439441.1183493268,55,54,127,90.9429974993295,160.84331848170274,243.3643630773316,0.09094299749932949,0.16084331848170275,0.2433643630773316,Tortoise burrow,2024,Ceylon WMA,Camden
45,3423732.3569327057,439332.39405505726,55,54,127,189.4674679231113,275.0444729788522,320.3407061439458,0.18946746792311128,0.2750444729788522,0.3203407061439458,Terrestrial,2024,Ceylon WMA,Camden
46,3424774.038201584,440010.8398208315,37,127,54,198.81719406095823,786.3863268621184,834.4079929719167,0.19881719406095824,0.7863863268621184,0.8344079929719167,Tortoise burrow,2024,Ceylon WMA,Camden
47,3424705.6113815983,439937.13105909486,37,127,54,184.50463584784978,688.8840946905214,749.2815024449931,0.1845046358478498,0.6888840946905214,0.749281502444993,Tortoise burrow,2024,Ceylon WMA,Camden
48,3424706.2738623475,439936.20063958963,37,127,54,183.36796742191646,688.9550360138918,749.7192274915849,0.18336796742191647,0.6889550360138919,0.7497192274915849,Tortoise burrow,2024,Ceylon WMA,Camden
49,3424644.7165093613,440092.2063156025,37,127,54,343.4621891543221,733.0483917030995,743.2074218572589,0.34346218915432214,0.7330483917030994,0.7432074218572589,Terrestrial,2024,Ceylon WMA,Camden
